1696	2170
1692	2902
1653	3761
853	3528
767	2606
570	1734
416	569
1087	363
1844	238
2113	987
2286	1726
2331	2347
2245	3164
1755	2993
1529	2344
1285	1668
1703	1371
1987	2015
1808	2621
1349	2919
1220	1275
1784	1096
2103	2722
